model,horizon,seed,bin,bin_lo_mm,bin_hi_mm,n,RMSE,MAE,mean_obs_mm,mean_pred_mm
persistence,3,n/a,"[1, 5)",1.0,5.0,16865,13.813421595053653,6.093062555579661,2.485597397515585,6.373762230439459
persistence,3,n/a,"[5, 10)",5.0,10.0,9358,15.027168546930492,8.694753124454058,7.215313059469909,9.115644355395501
persistence,3,n/a,"[10, inf)",10.0,inf,16353,31.755377384118457,20.988240668911317,27.18348313596776,13.68281048087161
lstm,4,13,"[0, 0.1)",0.0,0.1,83742,3.0773231258225437,1.7265663548498627,0.0,1.3895011278522884
lstm,4,13,"[0.1, 1)",0.1,1.0,13712,5.893543756255662,4.111554927263378,0.4191729909753429,4.305071938330197
lstm,4,13,"[1, 5)",1.0,5.0,16774,6.747503059939338,4.951419662210268,2.4856742641930643,6.6008042225946655
lstm,4,13,"[5, 10)",5.0,10.0,9333,6.435624612170512,4.608970265963277,7.213586157673388,8.609334373955393
lstm,4,13,"[10, inf)",10.0,inf,16347,28.408244999699892,17.445061251613033,27.23056216632845,11.271682910814103
lstm,4,42,"[0, 0.1)",0.0,0.1,83742,2.6756178027683326,1.5582955617523708,0.0,1.5291801524825672
lstm,4,42,"[0.1, 1)",0.1,1.0,13712,5.08537548159257,3.5389461746812167,0.4191729909753429,3.8918298219701097
lstm,4,42,"[1, 5)",1.0,5.0,16774,5.596509204719543,4.066769306743357,2.4856742641930643,5.793207337466758
lstm,4,42,"[5, 10)",5.0,10.0,9333,5.433603859633171,3.9267238629051353,7.213586157673388,7.506274438417898
lstm,4,42,"[10, inf)",10.0,inf,16347,29.20782823020504,18.3516139859458,27.23056216632845,9.68785954085886
lstm,4,123,"[0, 0.1)",0.0,0.1,83742,2.8729422062632977,1.7370518057591515,0.0,1.7199232802029867
lstm,4,123,"[0.1, 1)",0.1,1.0,13712,5.239792273445305,3.657538731784637,0.4191729909753429,4.03276632378056
lstm,4,123,"[1, 5)",1.0,5.0,16774,5.750143791738583,4.1380891866941525,2.4856742641930643,5.933757142591889
lstm,4,123,"[5, 10)",5.0,10.0,9333,5.500739142327413,3.989874175770737,7.213586157673388,7.6253579459910386
lstm,4,123,"[10, inf)",10.0,inf,16347,29.05658315215393,18.2073861403086,27.23056216632845,9.977349799406618
temporal,4,13,"[0, 0.1)",0.0,0.1,83742,2.6959890151884656,1.8166327940959084,0.0,1.8005939506986999
temporal,4,13,"[0.1, 1)",0.1,1.0,13712,4.78240169740206,3.5812249913881953,0.4191729909753429,3.97003168253473
temporal,4,13,"[1, 5)",1.0,5.0,16774,4.989717952508152,3.7183172191327953,2.4856742641930643,5.63544658154259
temporal,4,13,"[5, 10)",5.0,10.0,9333,4.59605280372507,3.421040536052428,7.213586157673388,7.063912885557962
temporal,4,13,"[10, inf)",10.0,inf,16347,29.96289131439377,19.00786619068017,27.23056216632845,8.713230999291406
temporal,4,42,"[0, 0.1)",0.0,0.1,83742,2.4925704920208016,1.5047151350669057,0.0,1.463472682213226
temporal,4,42,"[0.1, 1)",0.1,1.0,13712,4.56824664007215,3.2075197397822404,0.4191729909753429,3.5505030190324494
temporal,4,42,"[1, 5)",1.0,5.0,16774,4.902948491632424,3.5782863436574837,2.4856742641930643,5.242673694650896
temporal,4,42,"[5, 10)",5.0,10.0,9333,4.841823814515862,3.678826376519178,7.213586157673388,6.760525802774821
temporal,4,42,"[10, inf)",10.0,inf,16347,30.082584105904093,19.212246756220907,27.23056216632845,8.523808878351721
temporal,4,123,"[0, 0.1)",0.0,0.1,83742,2.7796432650912575,1.7047921460457003,0.0,1.607557002287374
temporal,4,123,"[0.1, 1)",0.1,1.0,13712,5.118866002325456,3.746510312832179,0.4191729909753429,4.063238594197436
temporal,4,123,"[1, 5)",1.0,5.0,16774,5.432883816396359,4.086946357332193,2.4856742641930643,5.859561044706699
temporal,4,123,"[5, 10)",5.0,10.0,9333,4.97573336552742,3.7074607764169665,7.213586157673388,7.462191628008505
temporal,4,123,"[10, inf)",10.0,inf,16347,29.62958596349866,18.551600038058876,27.23056216632845,9.290171236558411
attention,4,13,"[0, 0.1)",0.0,0.1,83742,2.818032947863417,1.5359123600686133,0.0,1.5164814166984582
attention,4,13,"[0.1, 1)",0.1,1.0,13712,5.479533979053156,3.8643831326575557,0.4191729909753429,4.211457270255888
attention,4,13,"[1, 5)",1.0,5.0,16774,6.079149345195875,4.534730393727901,2.4856742641930643,6.286702981900626
attention,4,13,"[5, 10)",5.0,10.0,9333,5.738937024335006,4.071556019120742,7.213586157673388,8.098634513587701
attention,4,13,"[10, inf)",10.0,inf,16347,28.777534793158086,17.82730150734949,27.23056216632845,10.514667909019108
attention,4,42,"[0, 0.1)",0.0,0.1,83742,2.884849292170306,1.608161321553395,0.0,1.087756532796819
attention,4,42,"[0.1, 1)",0.1,1.0,13712,5.674257100215218,3.933050658795099,0.4191729909753429,4.047213007280294
attention,4,42,"[1, 5)",1.0,5.0,16774,6.6315319169380755,4.770623917272298,2.4856742641930643,6.344117712177222
attention,4,42,"[5, 10)",5.0,10.0,9333,6.570436052997767,4.591002074512168,7.213586157673388,8.213338088268817
attention,4,42,"[10, inf)",10.0,inf,16347,28.741350548991683,18.013224453311512,27.23056216632845,10.840632424443493
attention,4,123,"[0, 0.1)",0.0,0.1,83742,2.618103628255525,1.517411546959982,0.0,1.4443501278266684
attention,4,123,"[0.1, 1)",0.1,1.0,13712,4.986823710375433,3.5428643466345835,0.4191729909753429,3.8679790965881646
attention,4,123,"[1, 5)",1.0,5.0,16774,5.513013210467931,4.067271221868006,2.4856742641930643,5.78201457888151
attention,4,123,"[5, 10)",5.0,10.0,9333,5.113140992307455,3.7758767795005337,7.213586157673388,7.21011836898277
attention,4,123,"[10, inf)",10.0,inf,16347,29.71186791806382,18.869073513493557,27.23056216632845,9.132161788485114
persistence,4,n/a,"[0, 0.1)",0.0,0.1,83742,5.795543495941307,1.028288073635171,0.0,1.028288073635171
persistence,4,n/a,"[0.1, 1)",0.1,1.0,13712,10.770348868113242,3.901283546378608,0.4191729909753429,3.9046018081135796
persistence,4,n/a,"[1, 5)",1.0,5.0,16774,14.054589577834944,6.113872655791845,2.4856742641930643,6.356742574679538
persistence,4,n/a,"[5, 10)",5.0,10.0,9333,16.302170687436412,9.090271053406461,7.213586157673388,9.341551470280582
persistence,4,n/a,"[10, inf)",10.0,inf,16347,32.114538589122596,21.42614544338299,27.23056216632845,13.011525039421226
