model,horizon,seed,threshold_mm,POD,FAR,CSI,Bias,HSS,Accuracy,hits,misses,false_alarms,correct_negatives,n,n_obs_event,n_pred_event
attention,2,13,5.0,0.7287938196358554,0.46322982787213357,0.44740228789323166,1.3577390426646998,0.5161595044170894,0.8351474906329762,18773,6986,16201,98693,140653,25759,34974
attention,2,13,10.0,0.4585878328854141,0.5222398981864461,0.3054640139956874,0.9598705106279013,0.3995121113638893,0.8786303882604708,7508,8864,8207,116074,140653,16372,15715
attention,2,13,35.6,0.08348680171884591,0.45708582834331335,0.07800401491253227,0.15377532228360957,0.13940565329902363,0.9771423289940492,272,2986,229,137166,140653,3258,501
attention,2,13,64.4,0.012060301507537688,0.2,0.012024048096192385,0.01507537688442211,0.023557202973339842,0.9929898402451423,12,983,3,139655,140653,995,15
attention,2,13,124.4,0.0,,0.0,0.0,0.0,0.9987913517664039,0,170,0,140483,140653,170,0
attention,2,42,0.1,0.9943978086065212,0.5921249112022848,0.40693999464819086,2.4379959353185474,0.018405737407952667,0.4169836405906735,56268,317,81686,2382,140653,56585,137954
attention,2,42,1.0,0.9488290398126463,0.5869441102705789,0.4040550109204057,2.297096018735363,0.26437241240927434,0.5751530361954598,40515,2185,57571,40382,140653,42700,98086
attention,2,42,5.0,0.7173026903218293,0.4622369684798743,0.44372133234072186,1.3338638922318413,0.5126762093902015,0.8353110136292863,18477,7282,15882,99012,140653,25759,34359
attention,2,42,10.0,0.4297581236257024,0.5107433419094639,0.29666483956655565,0.8783899340337161,0.3913177873058861,0.8814031695022502,7036,9336,7345,116936,140653,16372,14381
attention,2,42,35.6,0.09699201964395335,0.4616695059625213,0.08954378010767923,0.1801718845917741,0.15841720445344815,0.9771565483850326,316,2942,271,137124,140653,3258,587
attention,2,42,64.4,0.020100502512562814,0.3333333333333333,0.01990049751243781,0.03015075376884422,0.038626288840880645,0.992996949940634,20,975,10,139648,140653,995,30
attention,2,42,124.4,0.0,1.0,0.0,0.0058823529411764705,-1.4136436457219272e-05,0.9987842420709121,0,170,1,140482,140653,170,1
attention,2,123,0.1,0.985420164354511,0.5949528922077828,0.40263416324880136,2.4328532296545022,0.009052857868338175,0.4118291113591605,55760,825,81903,2165,140653,56585,137663
attention,2,123,1.0,0.9479156908665105,0.6148627432323136,0.37715595560897885,2.461241217798595,0.20410483977078614,0.5247666242454836,40476,2224,64619,33334,140653,42700,105095
attention,2,123,5.0,0.7272021429403316,0.4764234005087067,0.43762265208858986,1.3889126130672775,0.5029701345171924,0.8288554101227844,18732,7027,17045,97849,140653,25759,35777
attention,2,123,10.0,0.4673222575128268,0.5169518277669045,0.3115228013029316,0.9674444172978256,0.40719436280862453,0.879782158930133,7651,8721,8188,116093,140653,16372,15839
attention,2,123,35.6,0.10865561694290976,0.44773790951638065,0.0998589562764457,0.1967464702271332,0.1753039933310031,0.977312961685851,354,2904,287,137108,140653,3258,641
attention,2,123,64.4,0.01306532663316583,0.23529411764705882,0.013013013013013013,0.017085427135678392,0.02546008170532311,0.9929898402451423,13,982,4,139654,140653,995,17
attention,2,123,124.4,0.0,,0.0,0.0,0.0,0.9987913517664039,0,170,0,140483,140653,170,0
persistence,2,n/a,0.1,0.7489440664487055,0.24773231561196415,0.6007711827164344,0.9955818679862154,0.5833568825460335,0.7997767555615592,42379,14206,13956,70112,140653,56585,56335
persistence,2,n/a,1.0,0.69096018735363,0.30580456930425165,0.5297233244160368,0.9953395784543325,0.5590088742493803,0.8137757459847995,29504,13196,12997,84956,140653,42700,42501
persistence,2,n/a,5.0,0.5513024573935323,0.44583626004838833,0.3819115748709122,0.9948367560852518,0.45276979387893895,0.8365978685132915,14201,11558,11425,103469,140653,25759,25626
